1981,1001
1982,1022
1983,1025
1984,1043
1985,1079
1986,1036
1987,999
1988,969
1989,907
1990,879
1991,875
1992,835
1993,803
1994,784
1995,764
1996,772
1997,781
1998,777
1999,748
2000,741
2001,714
2002,707
2003,680
2004,656
2005,631
2006,611
2007,599
2008,586
2009,568
2010,549
2011,537
2012,539
2013,545
2014,561
2015,551
2016,508
2017,475
2018,440
2019,428
2020,389
2021,369
,
