,alias,categories,id,image_url,name,price,rating,review_count,transactions,url,long,lat,geometry,neighbourhood,price_int,chain,store_add1,store_add2,store_add3,store_zip_code
0,taliza-coffee-santa-fe-springs,"['coffeeroasteries', 'coffee', 'breakfast_brunch']",rs5eKXExQrwSvUJNi0A78g,https://s3-media4.fl.yelpcdn.com/bphoto/LCyCTiMk0o-hCA4C2S7new/o.jpg,Taliza Coffee,$,4.5,132,[],https://www.yelp.com/biz/taliza-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0497996,33.90293636,POINT (-118.049799576402 33.9029363647326),Santa Fe Springs,1,FALSE,13217 Rosecrans Ave,,,90670
1,dapuri-malaysian-white-coffee-santa-fe-springs,['coffee'],b2domRSPAeUIP9lEARAYMQ,https://s3-media1.fl.yelpcdn.com/bphoto/uPbQGLX77Bhb4bnH0p34Rw/o.jpg,Dapuri Malaysian White Coffee,$,5,1,[],https://www.yelp.com/biz/dapuri-malaysian-white-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.03058,33.88565,POINT (-118.03058 33.88565),Santa Fe Springs,1,FALSE,14111 Freeway Dr,Ste 300,,90670
2,starbucks-santa-fe-springs-7,['coffee'],g2ldfV2yjU-Yd7r0H-Lh3g,https://s3-media2.fl.yelpcdn.com/bphoto/r6Ct_pNr_NtwkAziPHEbEw/o.jpg,Starbucks,$$,2.5,95,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-7?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.029368,33.887704,POINT (-118.029368 33.887704),Santa Fe Springs,2,TRUE,15905 Valley View Avenue,,,90670
4,the-greenhouse-santa-fe-springs,['coffee'],BimMFJr3R9_t3CKVLxDvwA,,The Greenhouse,,2,1,[],https://www.yelp.com/biz/the-greenhouse-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.032532,33.88569847,POINT (-118.03253200641 33.8856984724873),Santa Fe Springs,,FALSE,14050 Firestone Blvd,,,90670
7,starbucks-santa-fe-springs-4,['coffee'],dvGiSZlSLB40GfbbNQt0jg,https://s3-media1.fl.yelpcdn.com/bphoto/Y4Z_Z1OavYAk0VdorXSJ6A/o.jpg,Starbucks,$$,3,71,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.049388,33.916618,POINT (-118.049388 33.916618),Santa Fe Springs,2,TRUE,13248 Imperial Highway,,,90670
8,starbucks-santa-fe-springs-11,['coffee'],9mYVXoT-ASlXum5LVlmZkA,https://s3-media1.fl.yelpcdn.com/bphoto/tcwSN-6GTCa5WoyRGUPnBQ/o.jpg,Starbucks,$,2.5,119,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-11?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.044536,33.939356,POINT (-118.044536 33.939356),Santa Fe Springs,1,TRUE,13473 Telegraph Road,Suite A,,90605
9,tierra-mia-coffee-santa-fe-springs,"['coffee', 'latin']",wmkgugyOinZ76Xc9_UEI1w,https://s3-media2.fl.yelpcdn.com/bphoto/r-igJhugIKy15y2RDux9_Q/o.jpg,Tierra Mia Coffee,$,3.5,73,[],https://www.yelp.com/biz/tierra-mia-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0839353,33.9451464,POINT (-118.083935314935 33.9451464012636),Santa Fe Springs,1,TRUE,11700 Telegraph Rd,,Santa Fe Springs Library,90670
10,starbucks-santa-fe-springs-9,['coffee'],IhRo92IXYIBFZkaFC_KNKw,https://s3-media2.fl.yelpcdn.com/bphoto/aEz20t_-gE1W5yVEbx2JXg/o.jpg,Starbucks,$$,3,102,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-9?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.086607,33.947191,POINT (-118.086607 33.947191),Santa Fe Springs,2,TRUE,11570 East Telegraph Rd,,,90670
11,homestyle-donuts-santa-fe-springs-2,"['coffee', 'donuts', 'bagels']",W8DsqoMV_sZg5byBnS7i6Q,https://s3-media3.fl.yelpcdn.com/bphoto/DSIlh8dIRjuqgs7GVLqQpw/o.jpg,Homestyle Donuts,$,4,25,[],https://www.yelp.com/biz/homestyle-donuts-santa-fe-springs-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0895904,33.9490192,POINT (-118.0895904 33.9490192),Santa Fe Springs,1,FALSE,11425 E Telegraph Rd,,,90670
18,boba-loca-whittier,['coffee'],m-bhRdBFcXbkvxwxT77myg,https://s3-media1.fl.yelpcdn.com/bphoto/WwM-RZeeY4U8WjtJAUZyHQ/o.jpg,Boba Loca,$,2.5,69,[],https://www.yelp.com/biz/boba-loca-whittier?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0686739,33.9711629,POINT (-118.0686739 33.9711629),Santa Fe Springs,1,TRUE,11402 E Washington Blvd,,,90606
20,starbucks-santa-fe-springs-10,['coffee'],3QzhSF_tjahQ6CpM95YIhg,https://s3-media2.fl.yelpcdn.com/bphoto/OlxwK6sBpfj6jtKhIgCIcw/o.jpg,Starbucks,$,3.5,59,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-10?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.073751,33.972956,POINT (-118.073751 33.972956),Santa Fe Springs,1,TRUE,7930 Norwalk Blvd,,,90606
24,starbucks-cerritos-4,['coffee'],szyKsCgccUkIaVxzpy-3CQ,https://s3-media3.fl.yelpcdn.com/bphoto/AVpDeR5uJOGStGAbGXarqg/o.jpg,Starbucks,$,3,186,[],https://www.yelp.com/biz/starbucks-cerritos-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.059672,33.871038,POINT (-118.059672 33.871038),Cerritos,1,TRUE,12751 Towne Center Drive,Suite N-3,,90703
25,tapioca-express-cerritos,"['coffee', 'bubbletea', 'juicebars']",RDGlGHnnZYI45BX7KSN7Vg,https://s3-media4.fl.yelpcdn.com/bphoto/Qy8ZPrLbuad-JvWP8XWwiA/o.jpg,Tapioca Express,$,3.5,176,[],https://www.yelp.com/biz/tapioca-express-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0593393,33.87121341,POINT (-118.059339345647 33.8712134118438),Cerritos,1,TRUE,12751 Towne Center Dr,Ste B2,,90703
26,starbucks-cerritos-11,['coffee'],UoxsjKI555hoFvAJqkZ5zQ,https://s3-media2.fl.yelpcdn.com/bphoto/vZtThmkdbLg9ncOpsK5bEQ/o.jpg,Starbucks,$$,2.5,55,[],https://www.yelp.com/biz/starbucks-cerritos-11?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.10049,33.886948,POINT (-118.10049 33.886948),Cerritos,2,TRUE,15925 Studebaker Rd,,,90703
27,zebra-coffee-norwalk,"['coffee', 'donuts']",sRM6wEybjJjOGcLSFIczlQ,https://s3-media1.fl.yelpcdn.com/bphoto/77Jc0gNf3pDJLtO2qU-rdA/o.jpg,Zebra Coffee,$,3.5,10,[],https://www.yelp.com/biz/zebra-coffee-norwalk?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0979385,33.88692093,POINT (-118.097938537598 33.8869209289551),Cerritos,1,FALSE,11046-11110 Alondra Blvd,,,90650
29,starbucks-cerritos-10,['coffee'],ovYL9QytIwZocEPQ-RTcxQ,https://s3-media4.fl.yelpcdn.com/bphoto/giPXoOG565W9QpqAwk15Hg/o.jpg,Starbucks,$$,2,8,[],https://www.yelp.com/biz/starbucks-cerritos-10?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.06333,33.847134,POINT (-118.06333 33.847134),Cerritos,2,TRUE,20200 Bloomfield Ave,,Target,90703
31,the-blend-cerritos,['coffee'],uYRw1nnqkPrj5pe2-wiUAA,,The Blend,$$,3,1,[],https://www.yelp.com/biz/the-blend-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.09848,33.86198,POINT (-118.09848 33.86198),Cerritos,2,FALSE,18700 Studebaker Rd,,Inside Power Toyota of Cerritos,90703
33,starbucks-cerritos-5,['coffee'],SK4oo2GFTnxCk1ia4HKkQQ,https://s3-media2.fl.yelpcdn.com/bphoto/RbzIBTh_wantW1JsXg1IXg/o.jpg,Starbucks,$,3,124,[],https://www.yelp.com/biz/starbucks-cerritos-5?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.090511,33.858852,POINT (-118.090511 33.858852),Cerritos,1,TRUE,11401 East South Street,,,90703
34,bambu-cerritos-2,"['coffee', 'juicebars', 'bubbletea']",T0RnEZUDCSXYnbNcn4OizQ,https://s3-media1.fl.yelpcdn.com/bphoto/qWw0ZeE64XyOEkZInbxIRg/o.jpg,BAMBU,$,4,377,[],https://www.yelp.com/biz/bambu-cerritos-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.090266,33.857626,POINT (-118.090266 33.857626),Cerritos,1,TRUE,11408 South St,,,90703
35,the-coffee-bean-and-tea-leaf-cerritos-3,['coffee'],L02AUZa0yUik1BcJlEW9wg,https://s3-media2.fl.yelpcdn.com/bphoto/RXfcdBdhv2XEJnaiJKZBSA/o.jpg,The Coffee Bean & Tea Leaf,$,3,39,[],https://www.yelp.com/biz/the-coffee-bean-and-tea-leaf-cerritos-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0939377,33.86216274,POINT (-118.093937656693 33.8621627424799),Cerritos,1,TRUE,9020 Los Cerritos Mall,,,90703
37,starbucks-cerritos-7,['coffee'],oslJmRuS0ZjiB2ZO2c7r-A,https://s3-media1.fl.yelpcdn.com/bphoto/k8aePur9KTRQ90ZsYwlvsQ/o.jpg,Starbucks,$$,3,25,[],https://www.yelp.com/biz/starbucks-cerritos-7?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.09324,33.861029,POINT (-118.09324 33.86102899999999),Cerritos,2,TRUE,429 Los Cerritos Center,,Los Cerritos Cente,90703
38,nordstrom-ebar-artisan-coffee-cerritos,['coffee'],79XEQNKmr6QWqiGDrsa-xw,https://s3-media3.fl.yelpcdn.com/bphoto/4aI1eh_M2FvLN6MjIri8Xg/o.jpg,Nordstrom Ebar Artisan Coffee,$,3.5,49,[],https://www.yelp.com/biz/nordstrom-ebar-artisan-coffee-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0936209,33.86308498,POINT (-118.093620859031 33.8630849819061),Cerritos,1,TRUE,300 Los Cerritos Ctr,,,90703
39,starbucks-cerritos-6,['coffee'],9kwKcbZ7xt5jnwJn2pcCPA,https://s3-media3.fl.yelpcdn.com/bphoto/lYDlwfuSd-R8kGFxZqfubg/o.jpg,Starbucks,$$,3.5,21,[],https://www.yelp.com/biz/starbucks-cerritos-6?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.08798,33.85847,POINT (-118.08798 33.85847),Cerritos,2,TRUE,11525 S St,,Target,90703
40,paris-baguette-cerritos-3,"['coffee', 'bakeries', 'cakeshop']",nPT2YqHcvV8ddFt4aa9OgA,https://s3-media1.fl.yelpcdn.com/bphoto/C02wS7IQ7DRjjs8HHTFNMw/o.jpg,Paris Baguette,$$,3.5,282,[],https://www.yelp.com/biz/paris-baguette-cerritos-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.095223,33.862712,POINT (-118.095223 33.862712),Cerritos,2,TRUE,426 Los Cerritos Mall,,,90703
42,sharetea-cerritos-4,"['coffee', 'bubbletea', 'juicebars']",BcekniF1I3xAkONVShohnQ,https://s3-media3.fl.yelpcdn.com/bphoto/m0Ec6fDMNkiPMmxQniELJA/o.jpg,Sharetea,$,4.5,1097,['pickup'],https://www.yelp.com/biz/sharetea-cerritos-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.07956,33.85794,POINT (-118.07956 33.85794),Cerritos,1,FALSE,11900 South St,Ste 106,,90703
43,gong-cha-cerritos,"['coffee', 'bubbletea', 'juicebars']",vx4Frc5FuS6U5BjDY5kKJQ,https://s3-media2.fl.yelpcdn.com/bphoto/9l_cP7Ky9csl3VrTiyNEng/o.jpg,Gong Cha,$,4,129,"['delivery', 'pickup']",https://www.yelp.com/biz/gong-cha-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0812133,33.8585997,POINT (-118.0812133 33.85859970000001),Cerritos,1,TRUE,11823 South St,,,90703
47,home-brewed-bar-cerritos-3,"['coffee', 'bubbletea']",dKK6wTWV9BlKLXs5j5SIFg,https://s3-media1.fl.yelpcdn.com/bphoto/Ny7VgkNz6CYoYLhUC9qBKg/o.jpg,Home Brewed Bar,$,4.5,231,[],https://www.yelp.com/biz/home-brewed-bar-cerritos-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0633192,33.8583851,POINT (-118.0633192 33.8583851),Cerritos,1,FALSE,12604 South St,,,90703
48,its-a-grind-coffee-house-cerritos-2,['coffee'],doy4qjTL-YQfYzUT77KcvQ,https://s3-media2.fl.yelpcdn.com/bphoto/pZMqzuBAP_7QZyP3HO8TFA/o.jpg,It's A Grind Coffee House,$,4,284,[],https://www.yelp.com/biz/its-a-grind-coffee-house-cerritos-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.049271,33.8589964,POINT (-118.049271 33.8589964),Cerritos,1,FALSE,13295 S St,,,90703
49,starbucks-cerritos-13,['coffee'],85CBr7dB9LZwcODcZYeO_w,https://s3-media4.fl.yelpcdn.com/bphoto/1oBXekJ2ygePOIV-cdc0zg/o.jpg,Starbucks,,2.5,2,[],https://www.yelp.com/biz/starbucks-cerritos-13?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0474325,33.85995078,POINT (-118.0474325 33.85995078),Cerritos,,TRUE,13321 S St,,"RALPHS - CERRITOS, CA #83",90703
50,metro-cafe-cerritos,['coffee'],E4sqTTtg8_HuEaZbkKb9eA,,Metro Cafe,$,2.5,3,[],https://www.yelp.com/biz/metro-cafe-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0964661,33.86822128,POINT (-118.096466064453 33.868221282959),Cerritos,1,TRUE,18000 Studebaker Rd,Ste 360,,90703
51,md-chevron-cerritos,"['coffee', 'beer_and_wine', 'servicestations']",XXbG-h4CUrglatYG-6iY8g,https://s3-media3.fl.yelpcdn.com/bphoto/XdTODwHv5x_d-RM7-hTLTw/o.jpg,MD Chevron,$$,2.5,5,[],https://www.yelp.com/biz/md-chevron-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0913544,33.8733139,POINT (-118.091354370117 33.8733139038086),Cerritos,2,FALSE,11355 Artesia Blvd,,,90703
56,7-leaves-cafe-artesia-3,"['coffee', 'macarons']",mAhkHjXLddbmxftSTz_OEw,https://s3-media1.fl.yelpcdn.com/bphoto/L2yyn2leInWYSfBhask-bA/o.jpg,7 Leaves Cafe,$,4,379,[],https://www.yelp.com/biz/7-leaves-cafe-artesia-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0728994,33.87278397,POINT (-118.07289943099 33.87278397361811),Artesia,1,FALSE,12154 Artesia Blvd,,,90701
61,cha2o-restaurant-and-dessert-lounge-artesia,"['coffee', 'desserts', 'vietnamese']",66CrA1CsIrUXWbhrKAk7bw,https://s3-media2.fl.yelpcdn.com/bphoto/B8xvJYg1fkrZc8zuia-nXg/o.jpg,Cha2O Restaurant & Dessert Lounge,$,3,1625,[],https://www.yelp.com/biz/cha2o-restaurant-and-dessert-lounge-artesia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0848252,33.8583151,POINT (-118.0848252 33.8583151),Artesia,1,FALSE,11688 S St,,,90701
62,solid-coffee-roasters-artesia,"['coffeeroasteries', 'coffee']",ZvPVl9l82aSKguhwohe2qg,https://s3-media1.fl.yelpcdn.com/bphoto/Mt88oBPLOD9DluM3UOJtIw/o.jpg,Solid Coffee Roasters,$$,4.5,411,"['delivery', 'pickup']",https://www.yelp.com/biz/solid-coffee-roasters-artesia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0731565,33.85910972,POINT (-118.07315652027 33.8591097176317),Artesia,2,FALSE,12147 South St,,,90701
64,boba-loca-artesia,"['coffee', 'shavedice', 'juicebars']",DV70QELPu76l8ue-Vcirhg,https://s3-media1.fl.yelpcdn.com/bphoto/pd9vp5xVVNfXsA4U9W_gWA/o.jpg,Boba Loca,$,4,86,[],https://www.yelp.com/biz/boba-loca-artesia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.07143,33.8584051,POINT (-118.07143 33.85840510000001),Artesia,1,TRUE,12222 South St,,,90701
66,kung-fu-tea-artesia-2,"['coffee', 'bubbletea', 'juicebars']",mMT7KYJtAWOOhGLKZNbeYg,https://s3-media2.fl.yelpcdn.com/bphoto/rOW_hJ3BAabHSs5RUlHvsw/o.jpg,Kung Fu Tea,$,4,288,[],https://www.yelp.com/biz/kung-fu-tea-artesia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.090489,33.86510477,POINT (-118.090489045167 33.8651047704344),Artesia,1,FALSE,18300 Gridley Rd,Ste D2,,90701
71,starbucks-artesia-2,['coffee'],AfQrZNIyGxUBiA7mWuxVXg,https://s3-media4.fl.yelpcdn.com/bphoto/XcdQ0AYLBhLmNLdZWlOoNQ/o.jpg,Starbucks,$,2.5,95,[],https://www.yelp.com/biz/starbucks-artesia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.08208,33.8746,POINT (-118.08208 33.8746),Artesia,1,TRUE,11809 Artesia Blvd.,,,90701
72,italio-coffee-artesia,"['coffee', 'importedfood']",GjLeK2L_EgJF48VsCIfrlw,,Italio Coffee,,4,1,[],https://www.yelp.com/biz/italio-coffee-artesia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0824249,33.8682628,POINT (-118.0824249 33.8682628),Artesia,,FALSE,17901 Pioneer Blvd,,,90701
74,lollicup-artesia,"['coffee', 'bubbletea', 'juicebars']",iIX9hKaiJpjS0ZvxAvD7TA,https://s3-media3.fl.yelpcdn.com/bphoto/4JJq8PEk3ctLoLcMIWUvSQ/o.jpg,Lollicup,$,3.5,369,[],https://www.yelp.com/biz/lollicup-artesia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0823529,33.86828274,POINT (-118.082352876663 33.8682827353477),Artesia,1,TRUE,17901 Pioneer Boulevard,,,90701
78,perfected-quality-coffee-service-norwalk,['coffee'],934ULxIbOV7NcuTjHrkfQw,,Perfected Quality Coffee Service,,5,1,[],https://www.yelp.com/biz/perfected-quality-coffee-service-norwalk?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.06323,33.89087,POINT (-118.06323 33.89087),Norwalk,,FALSE,15416 Lancelot Ave,,,90650
79,starbucks-norwalk-6,['coffee'],nW0lGouIDjt414pww1yaZA,https://s3-media1.fl.yelpcdn.com/bphoto/BuWXCAXLeCXzd6t3-YK6_g/o.jpg,Starbucks,$,2.5,97,[],https://www.yelp.com/biz/starbucks-norwalk-6?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.05496,33.90269,POINT (-118.05496 33.90269),Norwalk,1,TRUE,13001 Rosecrans Ave,,,90650
83,randys-donuts-norwalk,"['coffee', 'donuts']",COth6bKEqbfjUSrvFg6BEg,https://s3-media2.fl.yelpcdn.com/bphoto/R7tRO7nXHeyOfEY4aiQTiw/o.jpg,Randy's Donuts,$,4,52,[],https://www.yelp.com/biz/randys-donuts-norwalk?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.1002271,33.9021855,POINT (-118.1002271 33.9021855),Norwalk,1,FALSE,10989 Rosecrans Ave,,,90650
84,starbucks-norwalk-15,['coffee'],3UHhgCcUC7P1tKdU--qlzA,https://s3-media1.fl.yelpcdn.com/bphoto/uMuL_Jb3Moj4nLzrTZcGUQ/o.jpg,Starbucks,$$,3,105,[],https://www.yelp.com/biz/starbucks-norwalk-15?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.099257,33.902403,POINT (-118.099257 33.902403),Norwalk,2,TRUE,11023 Rosecrans Avenue,,,90650
90,talias-coffee-and-churro-norwalk,"['coffee', 'gelato', 'desserts']",o0g58mSEFVETsi2lcFiK0w,https://s3-media2.fl.yelpcdn.com/bphoto/x8mp41YXCzi9kU1N3OQO7A/o.jpg,Talias Coffee & Churro,$,4.5,120,[],https://www.yelp.com/biz/talias-coffee-and-churro-norwalk?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.07209,33.91366,POINT (-118.07209 33.91366),Norwalk,1,FALSE,12200 Civic Center Rd,Ste G,,90650
91,starbucks-norwalk-18,['coffee'],NaW28rvaUhtODtyMx7x9Lg,https://s3-media3.fl.yelpcdn.com/bphoto/aUW_40nCuFSLi6F9_a9-Dw/o.jpg,Starbucks,$$,2.5,43,[],https://www.yelp.com/biz/starbucks-norwalk-18?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.082372,33.901438,POINT (-118.082372 33.901438),Norwalk,2,TRUE,14322 Pioneer Boulevard,,,90650
92,starbucks-norwalk-8,['coffee'],evDCYp6p0S21VQRJKMJKfQ,https://s3-media4.fl.yelpcdn.com/bphoto/VzIHTZlY8TvvvMOHkm_MGw/o.jpg,Starbucks,$,3,112,[],https://www.yelp.com/biz/starbucks-norwalk-8?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.082206,33.912374,POINT (-118.082206 33.912374),Norwalk,1,TRUE,11790 Firestone Blvd.,,,90650
97,boba-loca-norwalk,"['coffee', 'juicebars']",6_HPnKWB7soGgO4xypZsgg,https://s3-media3.fl.yelpcdn.com/bphoto/M-og19wyB2WYBQO5mgoTkA/o.jpg,Boba Loca,$,3,61,[],https://www.yelp.com/biz/boba-loca-norwalk?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0826449,33.8870004,POINT (-118.0826449 33.8870004),Norwalk,1,TRUE,15929 Pioneer Blvd,,,90650
