,alias,categories,id,image_url,name,price,rating,review_count,transactions,url,long,lat,geometry,neighbourhood,price_int,chain,store_add1,store_add2,store_add3,store_zip_code
3145,starbucks-south-pasadena-3,['coffee'],cROCEaWn8z_ceowPPPd2Tw,https://s3-media2.fl.yelpcdn.com/bphoto/h6CVZvRD4OtLl62cd5WL-A/o.jpg,Starbucks,$,3,82,[],https://www.yelp.com/biz/starbucks-south-pasadena-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.150029,34.12000434,POINT (-118.150029 34.1200043393384),South Pasadena,1,TRUE,454 North Fair Oaks Ave,,,91030
3150,half-and-half-tea-house-san-gabriel,"['coffee', 'bubbletea', 'juicebars']",li6v92leUu596Ri_Io4R3Q,https://s3-media1.fl.yelpcdn.com/bphoto/p9tzoCePoO-zoWifUzurbw/o.jpg,Half & Half Tea House,$,3.5,1920,[],https://www.yelp.com/biz/half-and-half-tea-house-san-gabriel?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.090156,34.104627,POINT (-118.090156 34.104627),East San Gabriel,1,FALSE,120 N San Gabriel Blvd,Ste H,,91778
3151,starbucks-san-gabriel-3,['coffee'],w6fP4Sav5Z4KjqwdUq0JMA,https://s3-media1.fl.yelpcdn.com/bphoto/J7ZYgI6eOrwmGOIGuXRIjg/o.jpg,Starbucks,$$,2.5,93,[],https://www.yelp.com/biz/starbucks-san-gabriel-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.07236,34.12272,POINT (-118.07236 34.12272),East San Gabriel,2,TRUE,6850 Rosemead Boulevard,,,91775
3155,starbucks-arcadia-11,['coffee'],HgZbf6NcUv8-wuwRR4PGMA,https://s3-media2.fl.yelpcdn.com/bphoto/lX8j3n9hAR_PDLfdXXOo5g/o.jpg,Starbucks,$,3,91,[],https://www.yelp.com/biz/starbucks-arcadia-11?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.031281,34.10759,POINT (-118.031281 34.10759),Arcadia,1,TRUE,5 W Live Oak Ave,,,91006
3156,chatime-arcadia-2,"['coffee', 'bubbletea', 'juicebars']",HW-EmLlO4HHleDY43WHjAg,https://s3-media1.fl.yelpcdn.com/bphoto/nI3dxAOYTbiumBH1WTvwiw/o.jpg,Chatime,$,4,343,['pickup'],https://www.yelp.com/biz/chatime-arcadia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.03725,34.10719,POINT (-118.03725 34.10719),Arcadia,1,FALSE,168 Las Tunas Dr,Ste 103,,91007
3158,starbucks-arcadia-5,['coffee'],KkoEPu108CP7Gl5BcarisA,https://s3-media3.fl.yelpcdn.com/bphoto/idOmz6Wq0WX77n7xmY9JTA/o.jpg,Starbucks,$$,2.5,44,[],https://www.yelp.com/biz/starbucks-arcadia-5?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.022932,34.107665,POINT (-118.022932 34.107665),Arcadia,2,TRUE,298 E Live Oak Ave,,Albertsons,91006
3159,quickly-arcadia,"['coffee', 'juicebars', 'bubbletea']",kTvDleetq60lQUGr7D8SkA,https://s3-media4.fl.yelpcdn.com/bphoto/rz_BJxtC4yhKWkzYR8zNYw/o.jpg,Quickly,$,3,173,"['delivery', 'pickup']",https://www.yelp.com/biz/quickly-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.025,34.10847,POINT (-118.025 34.10847),Arcadia,1,TRUE,171 E Live Oak Ave,,,91006
3161,boba-ave-express-arcadia,"['coffee', 'bubbletea']",QZF2utYIsm85e9x2TS0e4w,https://s3-media3.fl.yelpcdn.com/bphoto/618-CmhbI1Q_EQbs9uOI5w/o.jpg,Boba Ave Express,$,3.5,499,[],https://www.yelp.com/biz/boba-ave-express-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0554504,34.12271118,POINT (-118.055450439453 34.1227111816406),Arcadia,1,FALSE,1437 S Baldwin Ave,,,91007
3162,starbucks-arcadia-2,['coffee'],RNwcAfNkiVsZW7mGTzxyHA,https://s3-media2.fl.yelpcdn.com/bphoto/jviHHT8qfHVnUDqpc3qgng/o.jpg,Starbucks,$,3,133,[],https://www.yelp.com/biz/starbucks-arcadia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.056968,34.124846,POINT (-118.056968 34.12484600000001),Arcadia,1,TRUE,733 West Naomi,,,91007
3163,au79-teahouse-arcadia,"['coffee', 'taiwanese']",VBt8IHqq72uStHk3mT0O_g,https://s3-media2.fl.yelpcdn.com/bphoto/Qy4e7mAoJlI6M24gEfvfKg/o.jpg,Au79 Teahouse,$,3.5,821,[],https://www.yelp.com/biz/au79-teahouse-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0581768,34.1237346,POINT (-118.0581768 34.1237346),Arcadia,1,FALSE,815 W Naomi Ave,Ste G,,91007
3165,ten-rens-tea-time-arcadia,"['coffee', 'taiwanese', 'hotpot']",G58Dd4U7y0pU0w7-xWymuQ,https://s3-media3.fl.yelpcdn.com/bphoto/KuKa0xwD-kAs4WKyhFHXEw/o.jpg,Ten Ren's Tea Time,$,3.5,328,[],https://www.yelp.com/biz/ten-rens-tea-time-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0593033,34.12506178,POINT (-118.059303313494 34.1250617762005),Arcadia,1,TRUE,846 W Duarte Rd,,,91007
3166,starbucks-arcadia-6,['coffee'],VUSip_OaI1odERkI9qsyQA,https://s3-media2.fl.yelpcdn.com/bphoto/M534YDUZFHOPfVP4LF5iFw/o.jpg,Starbucks,$,2.5,20,[],https://www.yelp.com/biz/starbucks-arcadia-6?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.057675,34.125026,POINT (-118.057675 34.125026),Arcadia,1,TRUE,745 E Naomi Ave,,Vons - Arcadia #3208,91007
3167,yogurt-and-juice-bar-arcadia,"['coffee', 'icecream']",VHs5d4-yXbuxCzP7SE-leQ,https://s3-media2.fl.yelpcdn.com/bphoto/dyIFhhwZAdNzcldAwvqY2A/o.jpg,Yogurt & Juice Bar,$,3,12,[],https://www.yelp.com/biz/yogurt-and-juice-bar-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0599191,34.1248235,POINT (-118.0599191 34.1248235),Arcadia,1,FALSE,1220 S Golden West Ave,,,91007
3168,rainbow-coffee-arcadia-2,"['coffee', 'breakfast_brunch', 'sandwiches']",Ac0HLdDNoA5Swhnf_BUNHw,https://s3-media4.fl.yelpcdn.com/bphoto/jU90S-2zfpTHLrU0LvOofQ/o.jpg,Rainbow Coffee,$,4.5,125,[],https://www.yelp.com/biz/rainbow-coffee-arcadia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0549862,34.1281013,POINT (-118.0549862 34.1281013),Arcadia,1,FALSE,1021 1/2 S Baldwin Ave,,,91007
3169,tancca-arcadia-3,"['coffee', 'bubbletea', 'juicebars']",WDNN_QqDaotscV2MRqS0Wg,https://s3-media2.fl.yelpcdn.com/bphoto/3RMm6fza27_PzpjEbF43UQ/o.jpg,Tancca,,4.5,93,[],https://www.yelp.com/biz/tancca-arcadia-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0550229,34.1276039,POINT (-118.0550229 34.1276039),Arcadia,,FALSE,1031 S Baldwin Ave,,,91007
3171,half-and-half-tea-express-arcadia-2,"['coffee', 'juicebars']",ObKJPYmvmsJNoEEEW_3Tlg,https://s3-media3.fl.yelpcdn.com/bphoto/SLAXt8__VTpSFcjjCujXyw/o.jpg,Half and Half Tea Express,$,3.5,296,[],https://www.yelp.com/biz/half-and-half-tea-express-arcadia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.055075,34.1234383,POINT (-118.055075 34.1234383),Arcadia,1,FALSE,1421 S Baldwin Ave,,,91007
3172,the-coffee-bean-and-tea-leaf-arcadia-2,['coffee'],BohfegxunQ62viu1s4dAZQ,https://s3-media2.fl.yelpcdn.com/bphoto/P5NyjIobA-sRnU1uHSsMTg/o.jpg,The Coffee Bean & Tea Leaf,$,3,56,[],https://www.yelp.com/biz/the-coffee-bean-and-tea-leaf-arcadia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.052319,34.1337736,POINT (-118.052319 34.1337736),Arcadia,1,TRUE,400 S Baldwin Ave,Space 9018,,91007
3173,o-green-cafe-arcadia-2,"['coffee', 'asianfusion', 'newamerican']",Bbjt8o2WR_gxOWtUpcYGcw,https://s3-media1.fl.yelpcdn.com/bphoto/PwDnXlEMYfFKgkWWKhK6Tw/o.jpg,O'Green Cafe,$$,3.5,192,[],https://www.yelp.com/biz/o-green-cafe-arcadia-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.055783,34.126491,POINT (-118.055783 34.12649099999999),Arcadia,2,FALSE,713 W Duarte Rd,,,91007
3178,jokers-koffee-arcadia-3,['coffee'],G6TCK7-hblUBeMpK1y071A,https://s3-media3.fl.yelpcdn.com/bphoto/lY_FaN8zRIMciH2S2d-aVw/o.jpg,Joker's Koffee,$,3.5,30,[],https://www.yelp.com/biz/jokers-koffee-arcadia-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0316238,34.12992477,POINT (-118.031623840332 34.1299247741699),Arcadia,1,FALSE,1 W Duarte Rd,Ste C,,91007
3179,honeyboba-arcadia,"['coffee', 'bubbletea', 'sushi']",uG9Obzmba_jhatpJSUudPA,https://s3-media1.fl.yelpcdn.com/bphoto/t0u9ZsrCoIC-oNbKEdmvPw/o.jpg,Honeyboba,$,3,986,[],https://www.yelp.com/biz/honeyboba-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.03162,34.12993,POINT (-118.03162 34.12993),Arcadia,1,TRUE,1 W Duarte Rd,Ste A,,91007
3181,tapioca-express-arcadia-arcadia,"['coffee', 'juicebars', 'bubbletea']",WE-_EstUg3s3z1AnMSK4Qg,https://s3-media4.fl.yelpcdn.com/bphoto/phW75skaDejWYR2-VJQFtg/o.jpg,Tapioca Express Arcadia,$,3.5,221,[],https://www.yelp.com/biz/tapioca-express-arcadia-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.02539,34.12999,POINT (-118.02539 34.12999),Arcadia,1,FALSE,160 E Duarte Rd,Ste A,,91006
3183,bearology-arcadia,"['coffee', 'juicebars']",ga9x4Y5F6bTkY_otzo9nKg,https://s3-media1.fl.yelpcdn.com/bphoto/mkaTVk0d7XWXeO7JpH5AAw/o.jpg,Bearology,$,4,187,[],https://www.yelp.com/biz/bearology-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0514695,34.1353645,POINT (-118.051469525605 34.1353645025078),Arcadia,1,FALSE,400 S Baldwin Ave,Fl 2,,91007
3185,nordstrom-ebar-artisan-coffee-arcadia,['coffee'],3BVk3THUi7kWm_iPBTkpxA,https://s3-media1.fl.yelpcdn.com/bphoto/nU86KVvP3QOyB8i_czby_g/o.jpg,Nordstrom Ebar Artisan Coffee,$$,3,35,[],https://www.yelp.com/biz/nordstrom-ebar-artisan-coffee-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.052692,34.135372,POINT (-118.052692 34.135372),Arcadia,2,TRUE,400 S Baldwin Ave,,,91007
3187,coco-fresh-tea-and-juice-arcadia,"['coffee', 'juicebars']",A1R0y0o3pcO_d20vgwL0oQ,https://s3-media2.fl.yelpcdn.com/bphoto/73s6I03zYHyVOWn8U8FDvw/o.jpg,CoCo Fresh Tea & Juice,$,3.5,209,[],https://www.yelp.com/biz/coco-fresh-tea-and-juice-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.050478,34.135143,POINT (-118.050478 34.135143),Arcadia,1,TRUE,400 S Baldwin Ave,Ste 231,,91007
3188,lollicup-arcadia,"['coffee', 'bubbletea', 'juicebars']",Zsy0IIn52zWW3Rrt-TtMBQ,https://s3-media2.fl.yelpcdn.com/bphoto/UpwPzEPGrx_9SXaxwT_6dA/o.jpg,Lollicup,$,3,93,[],https://www.yelp.com/biz/lollicup-arcadia?adjust_creative=6PdPuISJYyPX6jHw_isErw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6PdPuISJYyPX6jHw_isErw,-118.049856,34.135615,POINT (-118.049856 34.135615),Arcadia,1,TRUE,400 South Baldwin Avenue,,,91007
3190,cafe-1886-by-taza-arcadia-3,['coffee'],x2HzYH_0frh3cBomXJs7Mg,https://s3-media2.fl.yelpcdn.com/bphoto/_Pse4xUYJDNLa7hyoleubg/o.jpg,Cafe 1886 by Taza,$$,4,19,[],https://www.yelp.com/biz/cafe-1886-by-taza-arcadia-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0330038,34.14140121,POINT (-118.033003831317 34.1414012096833),Arcadia,2,FALSE,101 N Santa Anita Ave,,Inside Mercedes-Benz,91006
3192,hyper-coffee-arcadia,"['coffee', 'breakfast_brunch', 'bagels']",50H4mW4sIGISNbBw6JZCXg,https://s3-media4.fl.yelpcdn.com/bphoto/yaO_1yK7Dzl90ZnL1XvzzQ/o.jpg,Hyper Coffee,$,4,269,[],https://www.yelp.com/biz/hyper-coffee-arcadia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0284515,34.1376195,POINT (-118.0284515 34.1376195),Arcadia,1,FALSE,203 S 1st Ave,,,91006
3193,journey-coffee-and-tea-arcadia-9,"['coffee', 'desserts', 'breakfast_brunch']",vWA---mJ1eJ-9oD0hdnllQ,https://s3-media3.fl.yelpcdn.com/bphoto/DgVrtkCTu7pTkY3pdv__kA/o.jpg,Journey Coffee & Tea,$$,4,114,[],https://www.yelp.com/biz/journey-coffee-and-tea-arcadia-9?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0218578,34.1403049,POINT (-118.0218578 34.1403049),Arcadia,2,FALSE,411 Huntington Dr,Ste 110,,91006
3194,starbucks-arcadia-9,['coffee'],7mctD9ZVo-CQQvkaWWgxWw,https://s3-media4.fl.yelpcdn.com/bphoto/IhIxjSEPSmZGdrmAoGl60g/o.jpg,Starbucks,$,3.5,132,[],https://www.yelp.com/biz/starbucks-arcadia-9?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.023966,34.139831,POINT (-118.023966 34.139831),Arcadia,1,TRUE,300 E Huntington Drive,B15,,91006
3199,starbucks-arcadia-15,['coffee'],Ei9X0USXcswCtoDtY91eSw,https://s3-media2.fl.yelpcdn.com/bphoto/m9aoJwwZhg7hFm966hUxXg/o.jpg,Starbucks,,5,1,[],https://www.yelp.com/biz/starbucks-arcadia-15?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.024842,34.151554,POINT (-118.024842 34.151554),Arcadia,,TRUE,211 E. Foothill Blvd,,Ralphs - Arcadia #41,91006
3205,starbucks-irwindale-2,['coffee'],Lev_YaZ3cDn4hIoQqORpNg,https://s3-media2.fl.yelpcdn.com/bphoto/FsAmwPCBu9WLxTK51pD98Q/o.jpg,Starbucks,$$,3.5,115,[],https://www.yelp.com/biz/starbucks-irwindale-2?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-117.938338,34.106574,POINT (-117.938338 34.106574),Irwindale,2,TRUE,15700 Arrow Highway,,,91706
3213,starbucks-azusa-9,['coffee'],dZTEMH3dwUfX_h4YnTIahg,https://s3-media4.fl.yelpcdn.com/bphoto/LONIQ1tzgMTcIA03-TmFXQ/o.jpg,Starbucks,$,3.5,82,[],https://www.yelp.com/biz/starbucks-azusa-9?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-117.926297,34.133231,POINT (-117.926297 34.133231),Azusa,1,TRUE,1240 W. Foothill Blvd,Suite A,,91702
