Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,census_tract,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
6107001901,"Census Tract 19.01, Tulare County, California",ACSSF,ca,140,0,11608,,,,,6,107,06107001901,Census Tract 19.01,,,,66293
6107001902,"Census Tract 19.02, Tulare County, California",ACSSF,ca,140,0,11609,,,,,6,107,06107001902,Census Tract 19.02,,,,70950
6107002002,"Census Tract 20.02, Tulare County, California",ACSSF,ca,140,0,11610,,,,,6,107,06107002002,Census Tract 20.02,,,,57109
6107002003,"Census Tract 20.03, Tulare County, California",ACSSF,ca,140,0,11611,,,,,6,107,06107002003,Census Tract 20.03,,,,74698
6107002004,"Census Tract 20.04, Tulare County, California",ACSSF,ca,140,0,11612,,,,,6,107,06107002004,Census Tract 20.04,,,,68080
6107002006,"Census Tract 20.06, Tulare County, California",ACSSF,ca,140,0,11613,,,,,6,107,06107002006,Census Tract 20.06,,,,96818
6107002008,"Census Tract 20.08, Tulare County, California",ACSSF,ca,140,0,11614,,,,,6,107,06107002008,Census Tract 20.08,,,,40955
6107002009,"Census Tract 20.09, Tulare County, California",ACSSF,ca,140,0,11615,,,,,6,107,06107002009,Census Tract 20.09,,,,75750
6107002010,"Census Tract 20.10, Tulare County, California",ACSSF,ca,140,0,11616,,,,,6,107,06107002010,Census Tract 20.10,,,,78438
6107002011,"Census Tract 20.11, Tulare County, California",ACSSF,ca,140,0,11617,,,,,6,107,06107002011,Census Tract 20.11,,,,80464
6107002100,"Census Tract 21, Tulare County, California",ACSSF,ca,140,0,11618,,,,,6,107,06107002100,Census Tract 21,,,,67841
6107002202,"Census Tract 22.02, Tulare County, California",ACSSF,ca,140,0,11619,,,,,6,107,06107002202,Census Tract 22.02,,,,34792
6107002203,"Census Tract 22.03, Tulare County, California",ACSSF,ca,140,0,11620,,,,,6,107,06107002203,Census Tract 22.03,,,,59621
6107002204,"Census Tract 22.04, Tulare County, California",ACSSF,ca,140,0,11621,,,,,6,107,06107002204,Census Tract 22.04,,,,55163
6107002302,"Census Tract 23.02, Tulare County, California",ACSSF,ca,140,0,11622,,,,,6,107,06107002302,Census Tract 23.02,,,,59135
6107002303,"Census Tract 23.03, Tulare County, California",ACSSF,ca,140,0,11623,,,,,6,107,06107002303,Census Tract 23.03,,,,70250
6107002304,"Census Tract 23.04, Tulare County, California",ACSSF,ca,140,0,11624,,,,,6,107,06107002304,Census Tract 23.04,,,,57813
6107002401,"Census Tract 24.01, Tulare County, California",ACSSF,ca,140,0,11625,,,,,6,107,06107002401,Census Tract 24.01,,,,109893
6107002402,"Census Tract 24.02, Tulare County, California",ACSSF,ca,140,0,11626,,,,,6,107,06107002402,Census Tract 24.02,,,,73700
6107002403,"Census Tract 24.03, Tulare County, California",ACSSF,ca,140,0,11627,,,,,6,107,06107002403,Census Tract 24.03,,,,83661
6107002500,"Census Tract 25, Tulare County, California",ACSSF,ca,140,0,11628,,,,,6,107,06107002500,Census Tract 25,,,,59663
6107002601,"Census Tract 26.01, Tulare County, California",ACSSF,ca,140,0,11629,,,,,6,107,06107002601,Census Tract 26.01,,,,37483
6107002602,"Census Tract 26.02, Tulare County, California",ACSSF,ca,140,0,11630,,,,,6,107,06107002602,Census Tract 26.02,,,,53347
6107002701,"Census Tract 27.01, Tulare County, California",ACSSF,ca,140,0,11631,,,,,6,107,06107002701,Census Tract 27.01,,,,43365
6107002702,"Census Tract 27.02, Tulare County, California",ACSSF,ca,140,0,11632,,,,,6,107,06107002702,Census Tract 27.02,,,,66528
6107002800,"Census Tract 28, Tulare County, California",ACSSF,ca,140,0,11633,,,,,6,107,06107002800,Census Tract 28,,,,25956
6107002901,"Census Tract 29.01, Tulare County, California",ACSSF,ca,140,0,11634,,,,,6,107,06107002901,Census Tract 29.01,,,,58750
6107002903,"Census Tract 29.03, Tulare County, California",ACSSF,ca,140,0,11635,,,,,6,107,06107002903,Census Tract 29.03,,,,69000
6107002904,"Census Tract 29.04, Tulare County, California",ACSSF,ca,140,0,11636,,,,,6,107,06107002904,Census Tract 29.04,,,,52788
6107003001,"Census Tract 30.01, Tulare County, California",ACSSF,ca,140,0,11637,,,,,6,107,06107003001,Census Tract 30.01,,,,39623
6107003002,"Census Tract 30.02, Tulare County, California",ACSSF,ca,140,0,11638,,,,,6,107,06107003002,Census Tract 30.02,,,,46234
6107003100,"Census Tract 31, Tulare County, California",ACSSF,ca,140,0,11639,,,,,6,107,06107003100,Census Tract 31,,,,61154
6107003201,"Census Tract 32.01, Tulare County, California",ACSSF,ca,140,0,11640,,,,,6,107,06107003201,Census Tract 32.01,,,,42694
6107003202,"Census Tract 32.02, Tulare County, California",ACSSF,ca,140,0,11641,,,,,6,107,06107003202,Census Tract 32.02,,,,32171
6107003301,"Census Tract 33.01, Tulare County, California",ACSSF,ca,140,0,11642,,,,,6,107,06107003301,Census Tract 33.01,,,,37832
6107003302,"Census Tract 33.02, Tulare County, California",ACSSF,ca,140,0,11643,,,,,6,107,06107003302,Census Tract 33.02,,,,60060
6107003401,"Census Tract 34.01, Tulare County, California",ACSSF,ca,140,0,11644,,,,,6,107,06107003401,Census Tract 34.01,,,,41691
6107003402,"Census Tract 34.02, Tulare County, California",ACSSF,ca,140,0,11645,,,,,6,107,06107003402,Census Tract 34.02,,,,52879
6107003501,"Census Tract 35.01, Tulare County, California",ACSSF,ca,140,0,11646,,,,,6,107,06107003501,Census Tract 35.01,,,,57396
